clip.id,clip.peakdate,clip.title,clip.artist,clip.label,clip.peakpos,clip.woc,clip.qandq.0.category,clip.qandq.0.source,clip.qandq.0.answer,clip.qandq.0.difficulty,clip.qandq.1.category,clip.qandq.1.source,clip.qandq.1.answer,clip.qandq.1.difficulty
"wSNd02kVv8o","BLACK SWAN","BTS","46","1"

"_GC2wFTCAGY","BLUE WORLD","MAC MILLER","84","1"

"SlPhMPnQ58k","MEMORIES","MAROON 5","5","18"

