"YTID","LIGHT UP THE FIRE","PARCHMENT","31","3"
"YTID","LITTLE DRUMMER BOY","PIPES AND DRUMS AND THE MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARD","28","2"
"YTID","LIVING IN HARMONY","CLIFF RICHARD","12","6"
"YTID","LONG COOL WOMAN IN A BLACK DRESS","THE HOLLIES","32","5"
"YTID","LONG HAIRED LOVER FROM LIVERPOOL","LITTLE JIMMY OSMOND","9","3"
"YTID","LOOKIN' THROUGH THE WINDOWS","THE JACKSON 5","9","5"
"YTID","LOOP DI LOVE","SHAG","4","9"
"YTID","LOVE AT FIRST SIGHT (JE T'AIME... MOI NON PLUS) FT TIM MYCROFT","SOUNDS NICE FEATURING TIM MYCROFT","19","6"
"YTID","LOVE'S BEEN GOOD TO ME","FRANK SINATRA","26","2"
"YTID","LOVE THEME FROM THE GODFATHER","ANDY WILLIAMS","44","5"
"YTID","MAKE ME AN ISLAND","JOE DOLAN","3","16"
"YTID","MAMA WEER ALL CRAZEE NOW","SLADE","1","5"
"YTID","MARRAKESH EXPRESS","CROSBY STILLS AND NASH","17","9"
"YTID","MAYBE I KNOW","SEASHELLS","32","4"
"YTID","MOULDY OLD DOUGH","LIEUTENANT PIGEON","1","13"
"YTID","MY CHERIE AMOUR","STEVIE WONDER","4","13"
"YTID","MY DING-A-LING","CHUCK BERRY","1","7"
"YTID","MY WAY","FRANK SINATRA","5","28"
"YTID","NATURAL BORN BUGIE","HUMBLE PIE","4","8"
"YTID","NIGHTS IN WHITE SATIN","THE MOODY BLUES","19","13"
"YTID","NOBODY'S CHILD","KAREN YOUNG","10","6"
"YTID","OH! CAROL/BREAKING UP IS HARD TO DO/LITTLE DEVIL","NEIL SEDAKA","19","10"
"YTID","OH WELL","FLEETWOOD MAC","14","2"
"YTID","ONLY YOU","JEFF COLLINS","40","4"
"YTID","OUTA-SPACE","BILLY PRESTON","44","3"
"YTID","PENNY ARCADE","ROY ORBISON","32","4"
"YTID","POPCORN","HOT BUTTER","5","11"
"YTID","PUPPY LOVE","DONNY OSMOND","1","16"
"YTID","PUT YOURSELF IN MY PLACE","THE ISLEY BROTHERS","13","7"
"YTID","RETURN OF DJANGO/DOLLAR IN THE TEETH","UPSETTERS","37","2"
"YTID","ROCK ME BABY","DAVID CASSIDY","11","3"
"YTID","SAVED BY THE BELL","ROBIN GIBB","2","14"
"YTID","SCHOOL'S OUT","ALICE COOPER","1","12"
"YTID","SEA SIDE SHUFFLE","TERRY DACTYL AND THE DINOSAURS","2","12"
"YTID","SHOTGUN WEDDING {1972}","ROY C","16","3"
"YTID","SILVER MACHINE","HAWKWIND","3","14"
"YTID","SOLID GOLD EASY ACTION","T. REX","8","1"
