"7501-19750215","ONLY YOU CAN","FOX","GTO","50","1"
"7501-19860308","PRECIOUS LITTLE DIAMOND","FOX THE FOX","NO-LABEL","95","1"
"7501-19760410","S-S-S-SINGLE BED","FOX","GTO","41","1"
