id,peakdate,title,artist,label,peakpos,woc
"0SpUimaIkfI","19970607","15 STEPS EP","MONKEY MAFIA","HEAVENLY","67","1"
"Ppf9x6_ZdTs","20051119","2 LITTLE BOYS/NEVER SAY DIE 2005","MONKEY HANGERZ","POOLIE PRIDE","24","1"
"JqXhr3J4-18","19951014","BLOW THE WHOLE JOINT UP","MONKEY MAFIA","HEAVENLY","78","1"
"dcDuKCADGEc","19980502","LONG AS I CAN SEE THE LIGHT","MONKEY MAFIA","HEAVENLY","51","1"
"rgaWSyLT8ck","20040508","SHUGGIE LOVE","MONKEY BARS/GABRIELLE WIDMAN","SUBLIMINAL","61","1"
"hK4JYqm9Mjo","19960810","WORK MI BODY","MONKEY MAFIA FEATURING PATRA","HEAVENLY","75","1"
