"7501-19990918","HAVEN'T YOU HEARD","INDIGO","EUPHORIC","95","1"
"7501-19880521","INDIGO EYES","PETER MURPHY","NO-LABEL","95","2"
"7501-20001202","INDIGO","MOLOKO","ECHO","51","2"
"7501-19940604","LEAST COMPLICATED","INDIGO GIRLS","EPIC","98","1"
"7501-19960316","MY UNKNOWN LOVE","COUNT INDIGO","COWBOY","59","2"
"7501-19971227","PERFECT DAY","INDIGO","EUPHORIC","84","2"
